Date,NFCI
2007-02-16,-0.67786
2007-02-23,-0.66524
2007-03-02,-0.64944
2007-03-09,-0.63489
2007-03-16,-0.6227
2007-03-23,-0.6144
2007-03-30,-0.60856
2007-04-06,-0.60481
2007-04-13,-0.60117
2007-04-20,-0.59672
2007-04-27,-0.59008
2007-05-04,-0.58116
2007-05-11,-0.57242
2007-05-18,-0.56322
2007-05-25,-0.55449
2007-06-01,-0.54791
2007-06-08,-0.54484
2007-06-15,-0.54124
2007-06-22,-0.53613
2007-06-29,-0.52438
2007-07-06,-0.50002
2007-07-13,-0.45566
2007-07-20,-0.3874
2007-07-27,-0.29342
2007-08-03,-0.18099
2007-08-10,-0.06002
2007-08-17,0.05908
2007-08-24,0.15461
2007-08-31,0.20693
2007-09-07,0.22311
2007-09-14,0.1992
2007-09-21,0.14186
2007-09-28,0.07595
2007-10-05,0.0146
2007-10-12,-0.02631
2007-10-19,-0.03341
2007-10-26,-0.0027
2007-11-02,0.0645
2007-11-09,0.16312
2007-11-16,0.2746
2007-11-23,0.3877
2007-11-30,0.48146
2007-12-07,0.54451
2007-12-14,0.57087
2007-12-21,0.55984
2007-12-28,0.5194
2008-01-04,0.47082
2008-01-11,0.42518
2008-01-18,0.4009
2008-01-25,0.40811
2008-02-01,0.43779
2008-02-08,0.49942
2008-02-15,0.58455
2008-02-22,0.68414
2008-02-29,0.78471
2008-03-07,0.87666
2008-03-14,0.93803
2008-03-21,0.96257
2008-03-28,0.94188
2008-04-04,0.88873
2008-04-11,0.81473
2008-04-18,0.73221
2008-04-25,0.64637
2008-05-02,0.57102
2008-05-09,0.51623
2008-05-16,0.48367
2008-05-23,0.47879
2008-05-30,0.50021
2008-06-06,0.54622
2008-06-13,0.60053
2008-06-20,0.65737
2008-06-27,0.70998
2008-07-04,0.74265
2008-07-11,0.75172
2008-07-18,0.74182
2008-07-25,0.71312
2008-08-01,0.68184
2008-08-08,0.66562
2008-08-15,0.6728
2008-08-22,0.7284
2008-08-29,0.83649
2008-09-05,1.00442
2008-09-12,1.226
2008-09-19,1.51077
2008-09-26,1.79247
2008-10-03,2.07298
2008-10-10,2.32384
2008-10-17,2.51798
2008-10-24,2.65787
2008-10-31,2.77706
2008-11-07,2.86785
2008-11-14,2.94698
2008-11-21,3.02305
2008-11-28,3.04961
2008-12-05,3.04308
2008-12-12,2.9788
2008-12-19,2.85452
2008-12-26,2.69493
2009-01-02,2.54205
2009-01-09,2.38937
2009-01-16,2.26563
2009-01-23,2.17566
2009-01-30,2.11617
2009-02-06,2.08619
2009-02-13,2.08725
2009-02-20,2.10454
2009-02-27,2.12136
2009-03-06,2.12598
2009-03-13,2.08885
2009-03-20,2.01652
2009-03-27,1.91148
2009-04-03,1.78721
2009-04-10,1.64731
2009-04-17,1.50574
2009-04-24,1.36696
2009-05-01,1.23212
2009-05-08,1.10841
2009-05-15,1.00725
2009-05-22,0.92335
2009-05-29,0.86427
2009-06-05,0.8172
2009-06-12,0.78163
2009-06-19,0.7516
2009-06-26,0.71496
2009-07-03,0.66969
2009-07-10,0.61479
2009-07-17,0.54827
2009-07-24,0.47695
2009-07-31,0.40851
2009-08-07,0.3489
2009-08-14,0.30024
2009-08-21,0.25996
2009-08-28,0.22351
2009-09-04,0.19148
2009-09-11,0.15851
2009-09-18,0.12571
2009-09-25,0.09687
2009-10-02,0.07478
2009-10-09,0.05409
2009-10-16,0.03719
2009-10-23,0.02406
2009-10-30,0.01633
2009-11-06,0.00755
2009-11-13,-0.00421
2009-11-20,-0.01806
2009-11-27,-0.03654
2009-12-04,-0.0611
2009-12-11,-0.09205
2009-12-18,-0.12476
2009-12-25,-0.15567
2010-01-01,-0.18082
2010-01-08,-0.20113
2010-01-15,-0.21055
2010-01-22,-0.20905
2010-01-29,-0.20458
2010-02-05,-0.20055
2010-02-12,-0.20348
2010-02-19,-0.22037
2010-02-26,-0.24897
2010-03-05,-0.28876
2010-03-12,-0.33508
2010-03-19,-0.38093
2010-03-26,-0.42187
2010-04-02,-0.45039
2010-04-09,-0.46218
2010-04-16,-0.45089
2010-04-23,-0.4151
2010-04-30,-0.35574
2010-05-07,-0.27847
2010-05-14,-0.20175
2010-05-21,-0.12831
2010-05-28,-0.0735
2010-06-04,-0.04238
2010-06-11,-0.03335
2010-06-18,-0.04815
2010-06-25,-0.07579
2010-07-02,-0.11048
2010-07-09,-0.15242
2010-07-16,-0.19297
2010-07-23,-0.2263
2010-07-30,-0.25084
2010-08-06,-0.26514
2010-08-13,-0.26997
2010-08-20,-0.27129
2010-08-27,-0.2734
2010-09-03,-0.28065
2010-09-10,-0.29541
2010-09-17,-0.31465
2010-09-24,-0.33656
2010-10-01,-0.36064
2010-10-08,-0.38442
2010-10-15,-0.40617
2010-10-22,-0.42362
2010-10-29,-0.43727
2010-11-05,-0.44634
2010-11-12,-0.44964
2010-11-19,-0.45172
2010-11-26,-0.45417
2010-12-03,-0.46
2010-12-10,-0.4718
2010-12-17,-0.48709
2010-12-24,-0.50648
2010-12-31,-0.52762
2011-01-07,-0.54928
2011-01-14,-0.56957
2011-01-21,-0.58696
2011-01-28,-0.59894
2011-02-04,-0.6038
2011-02-11,-0.60205
2011-02-18,-0.59248
2011-02-25,-0.57735
2011-03-04,-0.56362
2011-03-11,-0.55305
2011-03-18,-0.54754
2011-03-25,-0.55256
2011-04-01,-0.56338
2011-04-08,-0.57778
2011-04-15,-0.59125
2011-04-22,-0.60084
2011-04-29,-0.60458
2011-05-06,-0.60138
2011-05-13,-0.59195
2011-05-20,-0.57948
2011-05-27,-0.56555
2011-06-03,-0.5521
2011-06-10,-0.53976
2011-06-17,-0.53098
2011-06-24,-0.52399
2011-07-01,-0.51709
2011-07-08,-0.50508
2011-07-15,-0.48265
2011-07-22,-0.4484
2011-07-29,-0.3995
2011-08-05,-0.33558
2011-08-12,-0.26389
2011-08-19,-0.20047
2011-08-26,-0.14196
2011-09-02,-0.09926
2011-09-09,-0.06731
2011-09-16,-0.04943
2011-09-23,-0.04048
2011-09-30,-0.04284
2011-10-07,-0.05462
2011-10-14,-0.07618
2011-10-21,-0.09426
2011-10-28,-0.10831
2011-11-04,-0.10973
2011-11-11,-0.10228
2011-11-18,-0.08962
2011-11-25,-0.07657
2011-12-02,-0.07482
2011-12-09,-0.0809
2011-12-16,-0.09461
2011-12-23,-0.11903
2011-12-30,-0.15325
2012-01-06,-0.19476
2012-01-13,-0.24123
2012-01-20,-0.28743
2012-01-27,-0.32922
2012-02-03,-0.36195
2012-02-10,-0.38587
2012-02-17,-0.40153
2012-02-24,-0.41356
2012-03-02,-0.42448
2012-03-09,-0.43262
2012-03-16,-0.44015
2012-03-23,-0.44389
2012-03-30,-0.44191
2012-04-06,-0.43441
2012-04-13,-0.4217
2012-04-20,-0.40607
2012-04-27,-0.38502
2012-05-04,-0.35887
2012-05-11,-0.32718
2012-05-18,-0.29364
2012-05-25,-0.26683
2012-06-01,-0.24768
2012-06-08,-0.24022
2012-06-15,-0.24562
2012-06-22,-0.26098
2012-06-29,-0.28033
2012-07-06,-0.30341
2012-07-13,-0.32716
2012-07-20,-0.35104
2012-07-27,-0.3724
2012-08-03,-0.39381
2012-08-10,-0.41295
2012-08-17,-0.43112
2012-08-24,-0.44919
2012-08-31,-0.46657
2012-09-07,-0.48504
2012-09-14,-0.50433
2012-09-21,-0.52057
2012-09-28,-0.53367
2012-10-05,-0.54472
2012-10-12,-0.55169
2012-10-19,-0.55584
2012-10-26,-0.55565
2012-11-02,-0.55435
2012-11-09,-0.55247
2012-11-16,-0.5519
2012-11-23,-0.55561
2012-11-30,-0.56125
2012-12-07,-0.56974
2012-12-14,-0.58116
2012-12-21,-0.5936
2012-12-28,-0.60567
2013-01-04,-0.62026
2013-01-11,-0.633
2013-01-18,-0.64254
2013-01-25,-0.64929
2013-02-01,-0.65283
2013-02-08,-0.6541
2013-02-15,-0.65547
2013-02-22,-0.65642
2013-03-01,-0.65679
2013-03-08,-0.659
2013-03-15,-0.66184
2013-03-22,-0.66481
2013-03-29,-0.66951
2013-04-05,-0.67677
2013-04-12,-0.68728
2013-04-19,-0.69805
2013-04-26,-0.71034
2013-05-03,-0.72018
2013-05-10,-0.72518
2013-05-17,-0.72294
2013-05-24,-0.71339
2013-05-31,-0.6972
2013-06-07,-0.67766
2013-06-14,-0.65874
2013-06-21,-0.64314
2013-06-28,-0.63574
2013-07-05,-0.63591
2013-07-12,-0.64324
2013-07-19,-0.6553
2013-07-26,-0.66691
2013-08-02,-0.67504
2013-08-09,-0.6789
2013-08-16,-0.67809
2013-08-23,-0.67414
2013-08-30,-0.67021
2013-09-06,-0.66856
2013-09-13,-0.67058
2013-09-20,-0.67548
2013-09-27,-0.68303
2013-10-04,-0.69281
2013-10-11,-0.70517
2013-10-18,-0.71917
2013-10-25,-0.73299
2013-11-01,-0.74487
2013-11-08,-0.7554
2013-11-15,-0.76423
2013-11-22,-0.7709
2013-11-29,-0.77619
2013-12-06,-0.77993
2013-12-13,-0.78299
2013-12-20,-0.78486
2013-12-27,-0.78573
2014-01-03,-0.78333
2014-01-10,-0.78054
2014-01-17,-0.77631
2014-01-24,-0.77197
2014-01-31,-0.76924
2014-02-07,-0.76973
2014-02-14,-0.77345
2014-02-21,-0.77772
2014-02-28,-0.78189
2014-03-07,-0.78487
2014-03-14,-0.78534
2014-03-21,-0.78446
2014-03-28,-0.78169
2014-04-04,-0.77979
2014-04-11,-0.77721
2014-04-18,-0.77533
2014-04-25,-0.77469
2014-05-02,-0.77601
