Date,Price,High,Low,Realized_Vol
2022-01-07,125.3318862915039,126.19528169601448,124.71518489048373,0.1610480143268284
2022-01-10,125.64027404785156,125.81647257024369,124.53901647904391,0.1610620374917681
2022-01-11,126.4771957397461,126.53887260098188,125.71953018261664,0.16326184139810856
2022-01-12,125.9926986694336,126.87370491731097,125.98389344646668,0.15487030473097663
2022-01-13,127.11153411865234,127.23487441075416,126.01027670949915,0.15555324121523767
2022-01-14,125.19092559814453,126.38909398597643,124.91780251659328,0.17303597222937944
2022-01-18,123.42892456054688,124.4949341074515,123.35844247960635,0.13104384525402837
2022-01-19,124.28350830078125,124.84735153694879,123.61393521571263,0.13392074742468563
2022-01-20,125.05000305175781,125.0940560436372,124.30114251906535,0.1346876659126035
2022-01-21,126.53885650634766,126.95293027229151,125.69308509590815,0.14663698703262745
2022-01-24,125.4992446899414,127.19077382416987,125.48162081392735,0.14800619002972704
2022-01-25,125.29662322998047,126.60932647344242,124.92660247425036,0.14771401648665045
2022-01-26,123.78136444091797,125.60505362949087,123.77255921890327,0.15633046198325165
2022-01-27,126.05435180664062,126.3098376554241,125.39359724524068,0.1800330712520313
2022-01-28,126.09835052490234,126.38908401995297,124.97066430093152,0.1744857504472832
2022-01-31,125.44649505615234,125.93985646683225,125.06766877405535,0.15899955421642217
2022-02-01,125.03002166748047,125.59465006760519,124.44774484371979,0.14316579192494672
2022-02-02,125.45349884033203,126.66216690504638,125.21529222001548,0.13994585883538008
2022-02-03,124.47422790527344,124.81829817368396,123.67139279171397,0.14205548850106003
2022-02-04,122.63922882080078,123.63615661641371,122.43631895984052,0.14902380678908198
2022-02-07,122.71858215332031,122.90384349408778,122.23335144354243,0.14319076025554295
2022-02-08,121.89808654785156,122.25980517382733,121.58931319005454,0.14687368891193567
2022-02-09,122.1274642944336,122.95676517338688,121.91573706528975,0.13390437376156183
2022-02-10,120.18656158447266,121.59813934360518,119.84249135668205,0.1267038705277782
2022-02-11,121.96871185302734,122.19808758603018,119.419059029798,0.14666494107242936
2022-02-14,120.45123291015625,121.51874043097936,119.95718473786899,0.15742788529942023
2022-02-15,119.08372497558594,119.84244537418977,119.04844160295698,0.16670419611492102
2022-02-16,119.7895736694336,120.04542873107012,118.66913419584264,0.1684705151931169
2022-02-17,120.68059539794922,121.368749233428,119.89540889660977,0.16798428260339976
2022-02-18,121.9510269165039,122.07453896065503,121.00704489230664,0.1594485927661079
2022-02-22,122.26862335205078,122.33920358155632,121.28052706257787,0.15994930851494002
2022-02-23,120.58354949951172,121.61577352379132,120.48651683346661,0.1711809039859336
2022-02-24,120.66294860839844,122.95674514184431,120.20418391698915,0.1709525036320859
2022-02-25,120.75118255615234,121.13936708908747,120.14243985330428,0.15090005400647116
2022-02-28,123.39789581298828,123.54787377160861,122.03044576033106,0.17075638842406407
2022-03-01,124.82461547851562,125.73451780542483,123.67619100893421,0.16893210050046506
2022-03-02,120.55773162841797,124.04716276903271,120.50472972688206,0.2360877156264513
2022-03-03,121.78569030761719,122.5277440825553,121.04363653267909,0.23967753933754
2022-03-04,123.88816833496094,124.40054256246901,123.06659834752598,0.25188146966417635
2022-03-07,122.94292449951172,124.24152514238664,122.58956946564841,0.24931693674944896
2022-03-08,121.70619201660156,122.13022083543999,121.2468195997406,0.2540952232969189
2022-03-09,120.51359558105469,121.3263231045537,120.25741515241292,0.24930866383372208
2022-03-10,118.78213500976562,119.40934233284969,118.12841324858772,0.25965635894625755
2022-03-11,119.1796875,119.65671833052751,118.56130920871033,0.26017167885895265
2022-03-14,116.39691162109375,117.39515907069656,116.36158151191408,0.2644036869295183
2022-03-15,116.19377136230469,117.62487714806831,115.89341815683426,0.25817830978979806
2022-03-16,117.33335876464844,117.607210991368,115.12485567222214,0.19639674569820637
2022-03-17,116.45875549316406,117.79268615101985,115.78737558556776,0.19337607144887206
2022-03-18,117.88105773925781,117.96938977106952,117.11250301229664,0.18364294834236103
2022-03-21,115.15137481689453,116.31745762444663,114.62132859914841,0.21465946809246492
2022-03-22,113.676025390625,114.25907324050237,113.37567230903792,0.21838745358804845
2022-03-23,116.1672592163086,116.25560472923873,113.83508055906003,0.2389401609192568
2022-03-24,115.2573471069336,115.88455436389123,114.4887924333317,0.23102628542935535
2022-03-25,113.65838623046875,114.41811169873844,112.76614925218637,0.24085248801755194
2022-03-28,114.63011932373047,115.33684288387607,113.99406946756248,0.21393825020525448
2022-03-29,115.49588012695312,116.2114329569961,114.61247890870098,0.2170699737133271
2022-03-30,116.39691162109375,116.61776187244803,114.83330154683874,0.2150367268380144
2022-03-31,116.67961120605469,117.20081458554986,116.30858438609388,0.21208113871811735
2022-04-01,117.12377166748047,117.6369307513414,114.76147944541133,0.2040315326839246
2022-04-04,116.30980682373047,116.76986934192489,115.64624109527537,0.1703591642116084
2022-04-05,113.68206787109375,115.70814897506219,113.50510623732697,0.1949137878667764
2022-04-06,112.76193237304688,113.51397892507802,111.83294441193598,0.16677168429402045
2022-04-07,111.91255187988281,112.07180789879013,110.95702251657744,0.16641868236058965
2022-04-08,110.70044708251953,111.32862174967082,109.93955793636134,0.16051643320470152
2022-04-11,108.9486312866211,109.87762589359528,108.43547223228984,0.17421594465458415
2022-04-12,108.7982406616211,109.85110047070302,108.53281166348856,0.17021336858117153
2022-04-13,109.01941680908203,109.97495299320714,108.72744629446507,0.16599601974543166
2022-04-14,106.83406829833984,108.76283269994276,106.50670681843162,0.19426548837156873
2022-04-18,106.30323028564453,107.12605205302943,105.89624411846292,0.19493734620904768
2022-04-19,105.50691223144531,105.92274768252621,104.99375330244602,0.19544753111196841
2022-04-20,107.6303482055664,107.91346927541925,106.09972049189597,0.18720581682934587
2022-04-21,106.83406829833984,106.97563220861544,105.43615505999286,0.18647049180831887
2022-04-22,106.16165924072266,107.44455693727339,106.00240320770736,0.18529752643114572
2022-04-25,107.2233657836914,108.1081200012312,107.17027594054451,0.1839623773653917
2022-04-26,108.30278015136719,108.85132351271719,107.72768849015269,0.17308522506033946
2022-04-27,106.91371154785156,108.22315094530573,106.85177901385887,0.1846879365377301
2022-04-28,107.0729751586914,107.11721557901231,106.17937806944497,0.18455768259690428
2022-04-29,105.68390655517578,107.02873697458413,105.3830933101298,0.16740885304885605
2022-05-02,103.85198974609375,104.81801029747702,103.63042465504658,0.18736471583413708
2022-05-03,104.55213928222656,105.73972495915396,104.4812368282407,0.18659711030666423
2022-05-04,105.12820434570312,105.43839411350051,104.00264992331431,0.15991743067193012
2022-05-05,102.24785614013672,103.22274114541281,101.05139929195778,0.20888425934961918
2022-05-06,100.7412109375,101.95539003402153,100.42215667508017,0.2195025515012856
2022-05-09,101.62748718261719,101.66293841306073,99.81065726339365,0.21821847373076664
2022-05-10,102.54922485351562,103.65705072924926,102.34538867889486,0.21712953275335992
2022-05-11,104.52555847167969,104.52555847167969,101.4236469312536,0.22831632327926332
2022-05-12,104.33057403564453,105.36749706759274,104.27740057604622,0.2283864305292178
2022-05-13,102.78846740722656,103.8253902833627,102.71756496399611,0.23119601763676473
2022-05-16,102.68213653564453,103.6392994468382,102.6732720378657,0.21394744895713133
2022-05-17,101.44135284423828,102.23012396811235,101.35272816681088,0.21990993318588317
2022-05-18,103.60385131835938,103.69247601390835,101.57431401062308,0.24251208803477176
2022-05-19,103.85198974609375,105.2168315183399,103.5595222031203,0.19876540960582076
2022-05-20,105.0307388305664,105.48272683906322,103.74565698640424,0.19278065172364148
2022-05-23,103.30252838134766,104.80031088670637,103.28480614532187,0.20534788661104597
2022-05-24,105.34091186523438,106.03219389655675,104.45465146371744,0.22301368169081556
2022-05-25,105.7574691772461,106.0144855387197,105.10163152591436,0.2023493804565342
2022-05-26,105.27888488769531,105.54475897890167,104.40148889194165,0.2034104620072423
2022-05-27,105.53588104248047,106.12080934048238,105.2345490161652,0.18957188918009893
2022-05-31,103.30252838134766,103.89632809349914,102.74418666451066,0.21780586914012912
2022-06-01,103.18440246582031,104.17877542845837,102.71385000690655,0.20915975819423546
2022-06-02,103.23771667480469,103.61948697186219,102.50969038433004,0.180393901349384
2022-06-03,103.01576232910156,103.04239636470203,101.98587456847035,0.18031771882859185
2022-06-06,101.11578369140625,102.55408247251732,101.04475508584655,0.19503191739454542
2022-06-07,102.20782470703125,102.7937937585396,101.72839178834593,0.1844140357047267
2022-06-08,101.30220031738281,102.21667134334568,101.28444655779755,0.16242846256756002
2022-06-09,101.63960266113281,101.8438014179056,100.92933021246039,0.16207752871652492
2022-06-10,101.00923919677734,101.7550259961208,100.29897347331655,0.16348109550126882
2022-06-13,97.83967590332031,99.1447979268593,96.98735283713727,0.22845307013136282
2022-06-14,96.60557556152344,98.5321876727642,96.41025026948105,0.21147672473490375
2022-06-15,98.40786743164062,98.54104436019479,96.8008843417576,0.23086680349413075
2022-06-16,99.18917083740234,99.18917083740234,95.99295834400493,0.23424071209587216
2022-06-17,99.50880432128906,100.17468228365261,98.51442412564155,0.23454812558063617
2022-06-21,97.82192993164062,98.56771013385861,97.493427638571,0.23161666061263686
2022-06-22,100.51205444335938,100.6008368137895,99.77514789883402,0.26322050158751054
2022-06-23,101.33772277832031,102.25219387799216,100.76062732723189,0.2626319174649057
2022-06-24,99.93494415283203,101.36436245925795,99.88167609315344,0.2712809883385409
2022-06-27,99.08263397216797,99.6330954958352,98.69199019524785,0.2728860251132549
2022-06-28,99.54429626464844,99.59756432210034,98.43449991000463,0.22225389086465924
2022-06-29,101.0980224609375,101.12465649264034,99.58869518572784,0.22667399481262993
2022-06-30,101.98584747314453,102.78489542351421,101.87930458538754,0.2114179261697339
2022-07-01,103.03289031982422,104.60747044823073,102.49913468919851,0.21389413728421705
2022-07-05,103.84243774414062,104.74982174877377,103.34425987900126,0.21687196644067788
2022-07-06,102.09883880615234,104.56302132752936,102.09883880615234,0.2165475415789078
2022-07-07,101.2003402709961,102.45466583017303,100.97794149644746,0.17411250865610414
2022-07-08,100.07945251464844,100.96904764811198,99.67913741941875,0.17819811042392636
2022-07-11,101.80525970458984,102.11661661470833,101.14695448082892,0.18499882079579172
2022-07-12,102.41020965576172,103.39766094582436,102.27676900819884,0.18237425207766758
2022-07-13,103.5844497680664,103.77126391407128,100.92455568253726,0.18971367445620976
2022-07-14,102.73934173583984,103.33537564313828,101.83195767124732,0.1778697997948687
2022-07-15,103.31758117675781,103.92250615608825,102.83719897666549,0.1746566580137663
2022-07-18,102.24118041992188,102.58812201789306,101.573983995043,0.17504248726394556
2022-07-19,101.68962097167969,102.43688443832572,101.11138954504072,0.17272418813756849
2022-07-20,101.95650482177734,102.79272646857369,101.45833368942513,0.1509335569908068
2022-07-21,103.71788787841797,103.83353958339029,102.31233279990666,0.16794389427240905
2022-07-22,105.46150207519531,106.10200484760577,104.94553528704867,0.1791175025474181
2022-07-25,104.42957305908203,104.56301368764657,103.61114715825893,0.16478222757206093
2022-07-26,104.50963592529297,106.07531842345476,104.43846668799324,0.16212164739499746
2022-07-27,103.92251586914062,105.40813829395685,103.82465984958286,0.15429770822138097
2022-07-28,104.74983978271484,105.79066458732707,104.36731355703601,0.15395153788228053
2022-07-29,104.46517944335938,106.13761621352836,104.37622126814031,0.15196676249111468
2022-08-01,106.98104858398438,107.03451910782546,105.23427454465319,0.18601511382937222
2022-08-02,104.71734619140625,107.56031291488003,104.5301926013756,0.2130510536348668
2022-08-03,106.36610412597656,106.49087320722751,103.67464805975672,0.22664454447117685
2022-08-04,106.33045196533203,106.54434764117231,105.64422203704098,0.2097079906497671
2022-08-05,103.7994155883789,104.3697904653959,103.28251123126823,0.22715505669014183
2022-08-08,105.47489166259766,105.63531002282097,104.7708336815845,0.23584784224845137
2022-08-09,105.06494140625,105.48381197177463,104.68172012283442,0.23662538520965
2022-08-10,104.37870788574219,105.97397750916689,104.03113589621779,0.23722115503170013
2022-08-11,101.9456787109375,104.32521168534473,101.67831255226987,0.2621214679164381
2022-08-12,102.97949981689453,102.99732105658825,101.98134040892893,0.2666205785203052
2022-08-15,102.890380859375,104.0489587082222,102.890380859375,0.23839810302444356
